id,question,answer,category
1,Что делать при технических ошибках? (через приложение),Вы получите уведомление после завершения операции. Услуга доступна круглосуточно.,Переводы
2,Как подать заявку на ипотеку? (по телефону),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Валюта и обмен
3,Как подключить зарплатный проект? (онлайн),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Вклады
4,Как узнать тариф по карте? (онлайн),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Процесс занимает несколько минут.,Поддержка
5,Как работает кэшбэк по картам? (на сайте),Для уточнения информации обратитесь в ближайшее отделение. Услуга доступна круглосуточно.,Валюта и обмен
6,Как подать заявку на ипотеку? (на сайте),Оформление занимает несколько минут и не требует визита в офис. Ответ придет на ваш email.,Поддержка
7,Как открыть счёт на юридическое лицо? (в отделении),Для уточнения информации обратитесь в ближайшее отделение. Услуга доступна круглосуточно.,Поддержка
8,Как восстановить доступ к мобильному приложению? (в отделении),Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Технические вопросы
9,Как получить кредит наличными? (через приложение),Проверьте актуальные условия на сайте банка. Понадобятся ваши паспортные данные.,Юридические лица
10,Как перевести деньги на другую карту? (онлайн),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Услуга доступна круглосуточно.,Комиссии и тарифы
11,Как узнать тариф по карте? (через приложение),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Мобильное приложение
12,Как получить кредит наличными? (онлайн),Вы получите уведомление после завершения операции. Ответ придет на ваш email.,Переводы
13,Как оформить страхование путешественников? (на сайте),Вы получите уведомление после завершения операции. Услуга доступна круглосуточно.,Технические вопросы
14,Как сменить пароль в интернет-банке? (в отделении),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Ответ придет на ваш email.,Карты
15,Как перевести деньги на другую карту? (через приложение),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Услуга доступна круглосуточно.,Бизнес
16,Как оформить дебетовую карту? (через приложение),Вы можете оформить услугу онлайн или в отделении банка. Понадобятся ваши паспортные данные.,Кэшбэк и бонусы
17,Как открыть расчётный счёт для бизнеса? (онлайн),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Интернет-банк
18,Как открыть вклад онлайн? (на сайте),Для уточнения информации обратитесь в ближайшее отделение. Ответ придет на ваш email.,Технические вопросы
19,Как инвестировать через банк? (в отделении),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Понадобятся ваши паспортные данные.,Карты
20,Что делать при технических ошибках? (на сайте),Проверьте актуальные условия на сайте банка. Услуга доступна круглосуточно.,Валюта и обмен
21,Как открыть вклад онлайн? (через приложение),Оформление занимает несколько минут и не требует визита в офис. Услуга доступна круглосуточно.,Зарплатные проекты
22,Что делать при технических ошибках? (по телефону),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Ответ придет на ваш email.,Комиссии и тарифы
23,Как перевести деньги на другую карту? (онлайн),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Зарплатные проекты
24,Как связаться со службой поддержки? (на сайте),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Понадобятся ваши паспортные данные.,Технические вопросы
25,Как открыть расчётный счёт для бизнеса? (по телефону),Вы получите уведомление после завершения операции. Понадобятся ваши паспортные данные.,Кэшбэк и бонусы
26,Как открыть вклад онлайн? (в отделении),Вы можете воспользоваться функцией в разделе 'Продукты и услуги'. Процесс занимает несколько минут.,Валюта и обмен
27,Как обновить личные данные? (в отделении),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Услуга доступна круглосуточно.,Юридические лица
28,Что делать при технических ошибках? (по телефону),Для этого потребуется авторизация в мобильном приложении или интернет-банке. Понадобятся ваши паспортные данные.,Карты
29,Как получить кредит наличными? (онлайн),Не сообщайте свои данные третьим лицам — это важно для вашей безопасности. Ответ придет на ваш email.,Личные данные
